name,image_url
משה אבוטבול,https://fs.knesset.gov.il/globaldocs/MK/1029/1_1029_3_13527.jpeg
יולי יואל אדלשטיין,https://fs.knesset.gov.il/globaldocs/MK/1/1_1_3_4.jpeg
אמיר אוחנה,https://fs.knesset.gov.il/globaldocs/MK/953/1_953_3_2628.jpeg
ינון אזולאי,https://fs.knesset.gov.il/globaldocs/MK/970/1_970_3_2722.jpeg
ישראל אייכלר,https://fs.knesset.gov.il/globaldocs/MK/754/1_754_3_1681.jpeg
זאב אלקין,https://fs.knesset.gov.il/globaldocs/MK/768/1_768_3_1721.jpeg
עמיחי אליהו,https://fs.knesset.gov.il/globaldocs/MK/1096/1_1096_3_19667.jpeg
קארין אלהרר,https://fs.knesset.gov.il/globaldocs/MK/860/1_860_3_2066.jpeg
ואליד אלהואשלה,https://fs.knesset.gov.il/globaldocs/MK/1093/1_1093_3_19652.jpeg
דן אילוז,https://fs.knesset.gov.il/globaldocs/MK/1116/1_1116_3_19861.jpeg
משה ארבל,https://fs.knesset.gov.il/globaldocs/MK/1008/1_1008_3_11235.jpeg
יעקב אשר,https://fs.knesset.gov.il/globaldocs/MK/861/1_861_3_2073.jpeg
אביחי אברהם בוארון,https://fs.knesset.gov.il/globaldocs/MK/1126/1_1126_3_20040.jpeg
אוריאל בוסו,https://fs.knesset.gov.il/globaldocs/MK/1039/1_1039_3_15050.jpeg
מישל בוסקילה,https://fs.knesset.gov.il/globaldocs/MK/1088/1_1088_3_19591.jpeg
דבי ביטון,https://fs.knesset.gov.il/globaldocs/MK/1094/1_1094_3_19657.jpeg
מירב  בן ארי,https://fs.knesset.gov.il/globaldocs/MK/915/1_915_3_2385.jpeg
ולדימיר בליאק,https://fs.knesset.gov.il/globaldocs/MK/1049/1_1049_3_16601.jpeg
בועז ביסמוט,https://fs.knesset.gov.il/globaldocs/MK/1095/1_1095_3_19662.jpeg
דוד ביטן,https://fs.knesset.gov.il/globaldocs/MK/914/1_914_3_2378.jpeg
מיכאל מרדכי ביטון,https://fs.knesset.gov.il/globaldocs/MK/1003/1_1003_3_11237.jpeg
רם בן ברק,https://fs.knesset.gov.il/globaldocs/MK/1022/1_1022_3_11242.jpeg
איתמר בן גביר,https://fs.knesset.gov.il/globaldocs/MK/1056/1_1056_3_17788.jpeg
סמיר בן סעיד,https://fs.knesset.gov.il/globaldocs/MK/1129/1_1129_3_20971.jpeg
יואב בן צור,https://fs.knesset.gov.il/globaldocs/MK/906/1_906_3_2332.jpeg
ניר ברקת,https://fs.knesset.gov.il/globaldocs/MK/974/1_974_3_12308.jpeg
ששון ששי גואטה,https://fs.knesset.gov.il/globaldocs/MK/1125/1_1125_3_20029.jpeg
טלי גוטליב,https://fs.knesset.gov.il/globaldocs/MK/1098/1_1098_3_19677.jpeg
יצחק גולדקנופ,https://fs.knesset.gov.il/globaldocs/MK/1099/1_1099_3_19749.jpeg
מאי גולן,https://fs.knesset.gov.il/globaldocs/MK/1002/1_1002_3_12304.jpeg
איתן גינזבורג,https://fs.knesset.gov.il/globaldocs/MK/981/1_981_3_11118.jpeg
משה גפני,https://fs.knesset.gov.il/globaldocs/MK/35/1_35_3_93.jpeg
בני גנץ,https://fs.knesset.gov.il/globaldocs/MK/988/1_988_3_12347.jpeg
גילה גמליאל,https://fs.knesset.gov.il/globaldocs/MK/723/1_723_3_1586.jpeg
סימון דוידסון,https://fs.knesset.gov.il/globaldocs/MK/1085/1_1085_3_18028.jpeg
אבי דיכטר,https://fs.knesset.gov.il/globaldocs/MK/771/1_771_3_1732.jpeg
גלית דיסטל אטבריאן,https://fs.knesset.gov.il/globaldocs/MK/1059/1_1059_3_17778.jpeg
אלי דלל,https://fs.knesset.gov.il/globaldocs/MK/1100/1_1100_3_19682.jpeg
שלום דנינו,https://fs.knesset.gov.il/globaldocs/MK/1101/1_1101_3_19687.jpeg
אריה מכלוף דרעי,https://fs.knesset.gov.il/globaldocs/MK/41/1_41_3_110.jpeg
עמית הלוי,https://fs.knesset.gov.il/globaldocs/MK/1044/1_1044_3_16220.jpeg
שרן מרים השכל,https://fs.knesset.gov.il/globaldocs/MK/950/1_950_3_2607.jpeg
ניסים ואטורי,https://fs.knesset.gov.il/globaldocs/MK/1045/1_1045_3_16502.jpeg
מיכל מרים וולדיגר,https://fs.knesset.gov.il/globaldocs/MK/1060/1_1060_3_17793.jpeg
יצחק שמעון וסרלאוף,https://fs.knesset.gov.il/globaldocs/MK/1102/1_1102_3_19692.jpeg
אימאן ח'טיב יאסין,https://fs.knesset.gov.il/globaldocs/MK/1032/1_1032_3_13745.jpeg
יאסר חוג'יראת,https://fs.knesset.gov.il/globaldocs/MK/1103/1_1103_3_19697.jpeg
אכרם  חסון,https://fs.knesset.gov.il/globaldocs/MK/854/1_854_3_2044.jpeg
ווליד טאהא,https://fs.knesset.gov.il/globaldocs/MK/1026/1_1026_3_13539.jpeg
בועז טופורובסקי,https://fs.knesset.gov.il/globaldocs/MK/872/1_872_3_2141.jpeg
משה טור פז,https://fs.knesset.gov.il/globaldocs/MK/1050/1_1050_3_16606.jpeg
אחמד טיבי,https://fs.knesset.gov.il/globaldocs/MK/208/1_208_3_520.jpeg
יוסף טייב,https://fs.knesset.gov.il/globaldocs/MK/1043/1_1043_3_15131.jpeg
אוהד טל,https://fs.knesset.gov.il/globaldocs/MK/1090/1_1090_3_19702.jpeg
יעקב טסלר,https://fs.knesset.gov.il/globaldocs/MK/996/1_996_3_11221.jpeg
